Running benchmark...

Client     PoolCount  PoolSize  Concurrency  Requests/s  Error %
Mojito            32       512        16384       19555      2.6
Finch             32       512        16384       53841      0.2
Mojito            16       512        16384        9355     16.6
Finch             16       512        16384       39603      2.5
Mojito             8       512        16384       45404      0.0
Finch              8       512        16384       58070      0.8
Mojito             4       512        16384       41144      0.0
Finch              4       512        16384       50584      0.8
Mojito             1       512        16384       27021      0.0
MachineGun         1       512        16384       37265      3.1
Finch              1       512        16384       20091      0.9
Hackney            1       512        16384       13140      0.0
Ibrowse            1       512        16384       11983      0.0
Mojito            32       256        16384       48219      0.0
Finch             32       256        16384       64302      0.0
Mojito            16       256        16384       48361      0.0
Finch             16       256        16384       59232      0.8
Mojito             8       256        16384       48021      0.0
Finch              8       256        16384       64618      0.8
Mojito             4       256        16384       50243      0.0
Finch              4       256        16384       61905      0.8
Mojito             1       256        16384       17880      0.0
MachineGun         1       256        16384       21754      2.8
Finch              1       256        16384       21811      1.0
Hackney            1       256        16384       17791      0.0
Ibrowse            1       256        16384       16320      0.0
Mojito            32       128        16384       48106      0.0
Finch             32       128        16384       61678      0.8
Mojito            16       128        16384       49432      0.0
Finch             16       128        16384       62017      0.8
Mojito             8       128        16384       50451      0.0
Finch              8       128        16384       65052      0.8   
Mojito             4       128        16384       41727      0.0 
Finch              4       128        16384       44390      0.9 
Mojito             1       128        16384       10408      0.0 
MachineGun         1       128        16384         633     96.1 
Finch              1       128        16384       11403      1.0 
Hackney            1       128        16384       10664      0.0 
Ibrowse            1       128        16384       20654      0.1 
Mojito            32        64        16384       47710      0.0 
Finch             32        64        16384       64716      0.8 
Mojito            16        64        16384       49269      0.0 
Finch             16        64        16384       61727      0.8 
Mojito             8        64        16384       41826      0.0 
Finch              8        64        16384       44922      0.9 
Mojito             4        64        16384       23018      0.0 
Finch              4        64        16384       22872      1.0 
Mojito             1        64        16384        5590      0.0 
MachineGun         1        64        16384         195     98.8 
Finch              1        64        16384        5738      2.8 
Hackney            1        64        16384        5690      0.0 
Ibrowse            1        64        16384       23903      0.5 
Mojito            32        32        16384       46725      0.0 
Finch             32        32        16384       64411      0.8 
Mojito            16        32        16384       39707      0.0 
Finch             16        32        16384       44556      0.9 
Mojito             8        32        16384       22410      0.0 
Finch              8        32        16384       22840      1.0 
Mojito             4        32        16384       11516      0.0 
Finch              4        32        16384       11492      1.0 
Mojito             1        32        16384        2891      0.0
MachineGun         1        32        16384          96     99.4
Finch              1        32        16384        2864     12.5
Hackney            1        32        16384        2887      0.0
Ibrowse            1        32        16384       27665      6.2
Finch             32         1        16384        2875     12.6
Finch             16         1        16384        1437     56.1
Finch              8         1        16384         717     78.1
Finch              4         1        16384         280     91.4
